2026-03-15 01:27:47 status half-configured fonts-dejavu-extra:all 2.37-8
2026-03-15 01:27:47 status installed fonts-dejavu-extra:all 2.37-8
2026-03-15 01:27:47 configure libatk-wrapper-java:all 0.40.0-3build2 <none>
2026-03-15 01:27:47 status unpacked libatk-wrapper-java:all 0.40.0-3build2
2026-03-15 01:27:47 status half-configured libatk-wrapper-java:all 0.40.0-3build2
2026-03-15 01:27:47 status installed libatk-wrapper-java:all 0.40.0-3build2
2026-03-15 01:27:47 configure ca-certificates-java:all 20240118 <none>
2026-03-15 01:27:47 status unpacked ca-certificates-java:all 20240118
2026-03-15 01:27:47 status half-configured ca-certificates-java:all 20240118
2026-03-15 01:27:47 status installed ca-certificates-java:all 20240118
2026-03-15 01:27:47 configure openjdk-21-jre-headless:amd64 21.0.9+10-1~25.04 <none>
2026-03-15 01:27:47 status unpacked openjdk-21-jre-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:47 status half-configured openjdk-21-jre-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:47 status installed openjdk-21-jre-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:47 status triggers-pending ca-certificates-java:all 20240118
2026-03-15 01:27:47 status triggers-awaited openjdk-21-jre-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:47 configure libatk-wrapper-java-jni:amd64 0.40.0-3build2 <none>
2026-03-15 01:27:47 status unpacked libatk-wrapper-java-jni:amd64 0.40.0-3build2
2026-03-15 01:27:47 status half-configured libatk-wrapper-java-jni:amd64 0.40.0-3build2
2026-03-15 01:27:47 status installed libatk-wrapper-java-jni:amd64 0.40.0-3build2
2026-03-15 01:27:47 trigproc fontconfig:amd64 2.15.0-2.2ubuntu1 <none>
2026-03-15 01:27:47 status half-configured fontconfig:amd64 2.15.0-2.2ubuntu1
2026-03-15 01:27:47 status installed fontconfig:amd64 2.15.0-2.2ubuntu1
2026-03-15 01:27:47 trigproc desktop-file-utils:amd64 0.28-1 <none>
2026-03-15 01:27:47 status half-configured desktop-file-utils:amd64 0.28-1
2026-03-15 01:27:47 status installed desktop-file-utils:amd64 0.28-1
2026-03-15 01:27:47 trigproc hicolor-icon-theme:all 0.18-2 <none>
2026-03-15 01:27:47 status half-configured hicolor-icon-theme:all 0.18-2
2026-03-15 01:27:47 status installed hicolor-icon-theme:all 0.18-2
2026-03-15 01:27:47 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2026-03-15 01:27:47 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-03-15 01:27:47 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-03-15 01:27:47 trigproc man-db:amd64 2.13.0-1 <none>
2026-03-15 01:27:47 status half-configured man-db:amd64 2.13.0-1
2026-03-15 01:27:49 status installed man-db:amd64 2.13.0-1
2026-03-15 01:27:49 trigproc ca-certificates-java:all 20240118 <none>
2026-03-15 01:27:49 status half-configured ca-certificates-java:all 20240118
2026-03-15 01:27:49 status installed openjdk-21-jre-headless:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:49 status installed ca-certificates-java:all 20240118
2026-03-15 01:27:49 configure openjdk-21-jre:amd64 21.0.9+10-1~25.04 <none>
2026-03-15 01:27:49 status unpacked openjdk-21-jre:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:49 status half-configured openjdk-21-jre:amd64 21.0.9+10-1~25.04
2026-03-15 01:27:49 status installed openjdk-21-jre:amd64 21.0.9+10-1~25.04
